nro_curso,cod_materia,profesor,nombre,virtual,h_desde,h_hasta,dia,id_cuatrimestre,id_prof,hora_desde,hora_hasta,Es_Individual
8969,MFA,AS,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 16:30:00.000,Martes,57,190,15:00,16:30,0
8974,EJAD,JCDU,1er. Cuatrimestre 2023,0,1900-01-01 14:00:00.000,1900-01-01 15:30:00.000,Martes,57,3,14:00,15:30,0
8975,RIM,JPA,1er. Cuatrimestre 2023,0,1900-01-01 15:30:00.000,1900-01-01 17:00:00.000,Martes,57,30,15:30,17:00,0
8976,BAT,SH,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 20:00:00.000,Martes,57,203,13:00,20:00,1
8977,CAN,RC,1er. Cuatrimestre 2023,0,1900-01-01 10:30:00.000,1900-01-01 19:30:00.000,Martes,57,189,10:30,19:30,1
8978,EAP1,CR,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Martes,57,124,13:00,14:30,0
8979,EAP2,CR,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,124,11:30,13:00,0
8980,INA1,PH,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,204,11:30,13:00,0
8981,EVOC,CR,1er. Cuatrimestre 2023,0,1900-01-01 15:30:00.000,1900-01-01 17:00:00.000,Martes,57,124,15:30,17:00,0
8982,INA1,CR,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Martes,57,124,17:00,18:30,0
9006,PNO,PH,1er. Cuatrimestre 2023,0,1900-01-01 11:00:00.000,1900-01-01 14:30:00.000,Mi�rcoles,57,204,11:00,14:30,1
9007,GUIA,EP,1er. Cuatrimestre 2023,0,1900-01-01 16:30:00.000,1900-01-01 17:30:00.000,Mi�rcoles,57,160,16:30,17:30,0
9008,NTM1,EP,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Mi�rcoles,57,160,18:30,20:00,0
9009,NTM2,EP,1er. Cuatrimestre 2023,0,1900-01-01 20:00:00.000,1900-01-01 21:30:00.000,Mi�rcoles,57,160,20:00,21:30,0
9010,TAM,FR,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Mi�rcoles,57,159,17:00,18:30,0
9011,APM,PAN,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Mi�rcoles,57,122,18:30,20:00,0
9012,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 14:30:00.000,1900-01-01 15:30:00.000,Mi�rcoles,57,160,14:30,15:30,0
9013,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 15:30:00.000,1900-01-01 16:30:00.000,Mi�rcoles,57,160,15:30,16:30,0
9014,GUIB,EP,1er. Cuatrimestre 2023,0,1900-01-01 17:30:00.000,1900-01-01 18:30:00.000,Mi�rcoles,57,160,17:30,18:30,0
9015,GUIA,PAN,1er. Cuatrimestre 2023,0,1900-01-01 20:00:00.000,1900-01-01 21:00:00.000,Mi�rcoles,57,122,20:00,21:00,0
9034,INA2,CMZ,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Mi�rcoles,57,104,18:30,20:00,0
9035,INA1,PAN,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Mi�rcoles,57,122,10:00,11:30,0
9036,INA2,PAN,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,122,11:30,13:00,0
9041,APM,IA,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Mi�rcoles,57,171,18:30,20:00,0
9042,APC2,DJ,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Mi�rcoles,57,6,18:30,20:00,0
9043,ARR1,DJ,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,6,11:30,13:00,0
9044,CAN,EE,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 14:30:00.000,Mi�rcoles,57,101,11:30,14:30,1
9045,CAN,EE,1er. Cuatrimestre 2023,1,1900-01-01 15:30:00.000,1900-01-01 19:30:00.000,Mi�rcoles,57,101,15:30,19:30,1
9046,GUIB,PAN,1er. Cuatrimestre 2023,1,1900-01-01 13:00:00.000,1900-01-01 14:00:00.000,Mi�rcoles,57,122,13:00,14:00,0
9047,IVI,MDM,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,191,11:30,13:00,0
9048,MIM,MDM,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Mi�rcoles,57,191,10:00,11:30,0
9049,PRP,IF,1er. Cuatrimestre 2023,1,1900-01-01 19:00:00.000,1900-01-01 21:00:00.000,Mi�rcoles,57,187,19:00,21:00,0
9050,PNO,IA,1er. Cuatrimestre 2023,1,1900-01-01 20:00:00.000,1900-01-01 21:30:00.000,Mi�rcoles,57,171,20:00,21:30,1
9051,PNOC,IA,1er. Cuatrimestre 2023,1,1900-01-01 15:30:00.000,1900-01-01 17:00:00.000,Mi�rcoles,57,171,15:30,17:00,0
9079,NTM1,PH,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Jueves,57,204,10:00,11:30,0
9093,PNO,PH,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Jueves,57,204,11:30,13:00,1
9094,PNOC,IA,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Jueves,57,171,13:00,14:30,0
9095,PNO,GT,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 17:00:00.000,Jueves,57,17,15:00,17:00,1
9096,PNOC,RN,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Jueves,57,19,17:00,18:30,0
9097,GUIB,EP,1er. Cuatrimestre 2023,1,1900-01-01 11:00:00.000,1900-01-01 12:00:00.000,Jueves,57,160,11:00,12:00,0
9098,BAJ,PT,1er. Cuatrimestre 2023,1,1900-01-01 10:30:00.000,1900-01-01 13:00:00.000,Jueves,57,169,10:30,13:00,1
9099,CAN,LF,1er. Cuatrimestre 2023,1,1900-01-01 10:30:00.000,1900-01-01 13:00:00.000,Jueves,57,202,10:30,13:00,1
9100,PME,SDD,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Jueves,57,205,10:00,11:30,0
9113,CAN,LF,1er. Cuatrimestre 2023,0,1900-01-01 14:00:00.000,1900-01-01 18:30:00.000,Viernes,57,202,14:00,18:30,1
9120,APC1,CR,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Viernes,57,124,10:00,11:30,0
9121,APT1,FR,1er. Cuatrimestre 2023,1,1900-01-01 13:30:00.000,1900-01-01 15:00:00.000,Viernes,57,159,13:30,15:00,0
9122,INA1,CR,1er. Cuatrimestre 2023,1,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Viernes,57,124,13:00,14:30,0
9123,PNOC,GT,1er. Cuatrimestre 2023,1,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Viernes,57,17,13:00,14:30,0
9126,GUIA,PAN,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 12:30:00.000,Viernes,57,122,11:30,12:30,0
9127,TAVC,CR,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Viernes,57,124,11:30,13:00,0
9128,PXX,TC,1er. Cuatrimestre 2023,1,1900-01-01 13:30:00.000,1900-01-01 15:00:00.000,Viernes,57,23,13:30,15:00,0
9129,TCV2,TC,1er. Cuatrimestre 2023,1,1900-01-01 15:00:00.000,1900-01-01 16:30:00.000,Viernes,57,23,15:00,16:30,0
9130,CTO2,TC,1er. Cuatrimestre 2023,1,1900-01-01 16:30:00.000,1900-01-01 18:00:00.000,Viernes,57,23,16:30,18:00,0
9131,ORQ1,TC,1er. Cuatrimestre 2023,1,1900-01-01 18:00:00.000,1900-01-01 19:30:00.000,Viernes,57,23,18:00,19:30,0
9132,EAP1,PAN,1er. Cuatrimestre 2023,1,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Viernes,57,122,13:00,14:30,0
9133,TPBC,PAN,1er. Cuatrimestre 2023,1,1900-01-01 14:30:00.000,1900-01-01 16:00:00.000,Viernes,57,122,14:30,16:00,0
9134,GUIB,PAN,1er. Cuatrimestre 2023,1,1900-01-01 16:00:00.000,1900-01-01 17:00:00.000,Viernes,57,122,16:00,17:00,0
9135,GUIA,PAN,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 18:00:00.000,Viernes,57,122,17:00,18:00,0
9136,EAP4,CR,1er. Cuatrimestre 2023,1,1900-01-01 16:30:00.000,1900-01-01 18:00:00.000,Viernes,57,124,16:30,18:00,0
9137,EAP3,CR,1er. Cuatrimestre 2023,1,1900-01-01 18:00:00.000,1900-01-01 19:30:00.000,Viernes,57,124,18:00,19:30,0
9138,BAT,PD,1er. Cuatrimestre 2023,1,1900-01-01 17:30:00.000,1900-01-01 18:30:00.000,Viernes,57,132,17:30,18:30,1
9139,TPR1,PD,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Viernes,57,132,18:30,20:00,0
9140,BAT,PD,1er. Cuatrimestre 2023,1,1900-01-01 20:00:00.000,1900-01-01 21:00:00.000,Viernes,57,132,20:00,21:00,1
9141,PNO,IA,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 17:00:00.000,Viernes,57,171,11:30,17:00,1
9142,PNOC,IA,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Viernes,57,171,17:00,18:30,0
9143,BAT,PD,1er. Cuatrimestre 2023,0,1900-01-01 11:00:00.000,1900-01-01 13:00:00.000,Viernes,57,132,11:00,13:00,1
9152,NTM1,CMZ,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Mi�rcoles,57,104,10:00,11:30,0
9156,PTS,LZ,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,207,18:30,20:00,0
9157,BAJ,PT,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 17:30:00.000,Lunes,57,169,17:00,17:30,1
8924,EJAC,EP,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Lunes,57,160,11:30,13:00,0
8925,GUIA,EP,1er. Cuatrimestre 2023,0,1900-01-01 10:30:00.000,1900-01-01 11:30:00.000,Lunes,57,160,10:30,11:30,0
8935,AML,IA,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Lunes,57,171,18:30,20:00,0
8936,APT1,FR,1er. Cuatrimestre 2023,1,1900-01-01 19:00:00.000,1900-01-01 20:30:00.000,Lunes,57,159,19:00,20:30,0
8938,APC2,JPR,1er. Cuatrimestre 2023,0,1900-01-01 10:30:00.000,1900-01-01 12:00:00.000,Lunes,57,12,10:30,12:00,0
8939,APC3,JPR,1er. Cuatrimestre 2023,0,1900-01-01 12:00:00.000,1900-01-01 13:30:00.000,Lunes,57,12,12:00,13:30,0
8941,CAN,LF,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 18:00:00.000,Lunes,57,202,11:30,18:00,1
8942,GUIB,PAN,1er. Cuatrimestre 2023,0,1900-01-01 11:00:00.000,1900-01-01 12:00:00.000,Lunes,57,122,11:00,12:00,0
8943,ACO,NJA,1er. Cuatrimestre 2023,0,1900-01-01 10:30:00.000,1900-01-01 11:30:00.000,Lunes,57,206,10:30,11:30,1
8944,TEJ,PH,1er. Cuatrimestre 2023,0,1900-01-01 16:00:00.000,1900-01-01 17:30:00.000,Lunes,57,204,16:00,17:30,0
8945,PNO,PH,1er. Cuatrimestre 2023,0,1900-01-01 14:00:00.000,1900-01-01 16:00:00.000,Lunes,57,204,14:00,16:00,1
8946,PNOC,PH,1er. Cuatrimestre 2023,0,1900-01-01 17:30:00.000,1900-01-01 19:00:00.000,Lunes,57,204,17:30,19:00,0
8947,MEZ2,SB,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Lunes,57,127,10:00,11:30,0
8948,MEZ1,SB,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Lunes,57,127,11:30,13:00,0
8954,PNOC,IA,1er. Cuatrimestre 2023,1,1900-01-01 20:00:00.000,1900-01-01 21:30:00.000,Lunes,57,171,20:00,21:30,0
8955,MEZ3,PLR,1er. Cuatrimestre 2023,1,1900-01-01 19:30:00.000,1900-01-01 21:00:00.000,Lunes,57,8,19:30,21:00,0
8956,IES,SB,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Lunes,57,127,18:30,20:00,0
8957,APM,CR,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Martes,57,124,10:00,11:30,0
8958,TPT,AO,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 12:00:00.000,Martes,57,194,10:00,12:00,1
8959,NTM1,CMZ,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Martes,57,104,10:00,11:30,0
8960,PNOC,PH,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Martes,57,204,10:00,11:30,0
8970,EJAB,JCDU,1er. Cuatrimestre 2023,0,1900-01-01 15:30:00.000,1900-01-01 17:00:00.000,Martes,57,3,15:30,17:00,0
8971,APC1,JPA,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,30,18:30,20:00,0
8972,EAP1,GT,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Martes,57,17,17:00,18:30,0
8973,PNOC,GT,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,17,18:30,20:00,0
8983,PNO,RN,1er. Cuatrimestre 2023,1,1900-01-01 13:00:00.000,1900-01-01 16:30:00.000,Martes,57,19,13:00,16:30,1
8984,PNO,RN,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,19,18:30,20:00,1
8985,CTO1,TC,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,23,18:30,20:00,0
8986,PNOC,RN,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Martes,57,19,17:00,18:30,0
8987,PNOC,RN,1er. Cuatrimestre 2023,1,1900-01-01 20:00:00.000,1900-01-01 21:30:00.000,Martes,57,19,20:00,21:30,0
8988,PRO,MDM,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,191,11:30,13:00,0
8989,TCV1,TC,1er. Cuatrimestre 2023,1,1900-01-01 20:00:00.000,1900-01-01 21:30:00.000,Martes,57,23,20:00,21:30,0
8990,TAM,MDM,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Martes,57,191,10:00,11:30,0
8991,PNO,GT,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,17,11:30,13:00,1
8992,CAN,LF,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 15:00:00.000,Martes,57,202,11:30,15:00,1
8993,CAN,EE,1er. Cuatrimestre 2023,0,1900-01-01 08:00:00.000,1900-01-01 08:30:00.000,Martes,57,101,08:00,08:30,1
8994,PNO,PH,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 17:00:00.000,Martes,57,204,15:00,17:00,1
8995,GUIB,AS,1er. Cuatrimestre 2023,0,1900-01-01 16:30:00.000,1900-01-01 17:30:00.000,Martes,57,190,16:30,17:30,0
8996,GUIA,AS,1er. Cuatrimestre 2023,0,1900-01-01 17:30:00.000,1900-01-01 18:30:00.000,Martes,57,190,17:30,18:30,0
8997,BAJ,AH,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,120,18:30,20:00,1
8998,EJAC,AH,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Martes,57,120,17:00,18:30,0
8999,EFLC,AS,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,190,18:30,20:00,0
9000,BAJ,AH,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 17:00:00.000,Martes,57,120,15:00,17:00,1
9001,GUIB,EP,1er. Cuatrimestre 2023,1,1900-01-01 10:30:00.000,1900-01-01 11:30:00.000,Martes,57,160,10:30,11:30,0
9002,NTM1,EP,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Martes,57,160,11:30,13:00,0
9003,CAN,NOM,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 15:30:00.000,Martes,57,21,10:00,15:30,1
9004,IVI,LZ,1er. Cuatrimestre 2023,1,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Martes,57,207,17:00,18:30,0
9005,IES,SB,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Martes,57,127,18:30,20:00,0
9016,BAJ,PT,1er. Cuatrimestre 2023,0,1900-01-01 14:30:00.000,1900-01-01 17:00:00.000,Mi�rcoles,57,169,14:30,17:00,1
9017,SAXF,LN,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Mi�rcoles,57,136,10:00,11:30,1
9018,SAXF,LN,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Mi�rcoles,57,136,13:00,14:30,1
9019,EJAD,LN,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,136,11:30,13:00,0
9020,PTS,FR,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 16:30:00.000,Mi�rcoles,57,159,15:00,16:30,0
9021,BAJ,JC,1er. Cuatrimestre 2023,0,1900-01-01 11:00:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,121,11:00,13:00,1
9022,BAJ,JC,1er. Cuatrimestre 2023,0,1900-01-01 14:30:00.000,1900-01-01 17:30:00.000,Mi�rcoles,57,121,14:30,17:30,1
9023,EJAC,JC,1er. Cuatrimestre 2023,0,1900-01-01 13:00:00.000,1900-01-01 14:30:00.000,Mi�rcoles,57,121,13:00,14:30,0
9024,BAT,PD,1er. Cuatrimestre 2023,0,1900-01-01 15:00:00.000,1900-01-01 17:00:00.000,Mi�rcoles,57,132,15:00,17:00,1
9025,EIMP,PH,1er. Cuatrimestre 2023,0,1900-01-01 14:30:00.000,1900-01-01 16:00:00.000,Mi�rcoles,57,204,14:30,16:00,0
9026,ESFU,PT,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Mi�rcoles,57,169,17:00,18:30,0
9027,GRA,FR,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 21:30:00.000,Mi�rcoles,57,159,18:30,21:30,0
9028,INA1,CMZ,1er. Cuatrimestre 2023,0,1900-01-01 20:00:00.000,1900-01-01 21:30:00.000,Mi�rcoles,57,104,20:00,21:30,0
9029,LBC,PD,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Mi�rcoles,57,132,18:30,20:00,0
9030,TIM1,CC,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Mi�rcoles,57,24,10:00,11:30,0
9031,TIM2,CC,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,24,11:30,13:00,0
9032,TPR1,PD,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Mi�rcoles,57,132,11:30,13:00,0
9033,TPR1,PD,1er. Cuatrimestre 2023,0,1900-01-01 17:00:00.000,1900-01-01 18:30:00.000,Mi�rcoles,57,132,17:00,18:30,0
9060,ARR2,DJ,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Mi�rcoles,57,6,10:00,11:30,0
9091,MEZ1,PC,1er. Cuatrimestre 2023,0,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Jueves,57,195,18:30,20:00,0
9092,PNO,RN,1er. Cuatrimestre 2023,0,1900-01-01 10:00:00.000,1900-01-01 16:30:00.000,Jueves,57,19,10:00,16:30,1
9117,PNO,GT,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Viernes,57,17,10:00,11:30,1
9118,NTM1,PAN,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Viernes,57,122,10:00,11:30,0
9119,PTS,FR,1er. Cuatrimestre 2023,1,1900-01-01 10:00:00.000,1900-01-01 11:30:00.000,Viernes,57,159,10:00,11:30,0
9124,APM,GT,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Viernes,57,17,11:30,13:00,0
9125,TAM,FR,1er. Cuatrimestre 2023,1,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Viernes,57,159,11:30,13:00,0
9148,TIM3,CC,1er. Cuatrimestre 2023,0,1900-01-01 11:00:00.000,1900-01-01 12:30:00.000,Lunes,57,24,11:00,12:30,0
9154,APC1,IA,1er. Cuatrimestre 2023,1,1900-01-01 18:30:00.000,1900-01-01 20:00:00.000,Lunes,57,171,18:30,20:00,0
9155,PTS,PC,1er. Cuatrimestre 2023,0,1900-01-01 11:30:00.000,1900-01-01 13:00:00.000,Jueves,57,195,11:30,13:00,0
